x,y,z,class,start_time,end_time,start_datetime,end_datetime,sound_path,sampled,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light),propagated_class
11.579153,6.8220677,6.7976236,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_0.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.576732,6.215612,5.965248,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_1.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.500875,7.5241375,7.143081,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_2.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.077563,6.182502,6.297458,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_3.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.763161,6.088688,6.443488,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_4.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.158929,6.4048743,6.566027,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_5.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.265192,6.177471,6.7520247,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_6.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
8.973501,6.6487894,3.813166,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_7.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.191313,6.4163833,6.568081,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_8.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.448857,7.3624907,7.126451,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_9.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.403059,7.155831,7.3164353,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_10.wav,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,rain (light)
11.494034,7.3917146,7.121166,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_11.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.553399,7.4697266,7.1791654,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_12.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.6012335,6.602334,6.3478937,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_13.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.394159,7.322798,7.4163775,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_14.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.580841,6.3417478,5.887068,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_15.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
12.373549,7.746867,7.973281,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_16.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
12.170001,9.323425,8.419634,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_17.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.625958,7.409889,6.4044256,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_18.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.519187,6.6801,6.292493,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_19.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.988315,7.483298,7.431648,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_20.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.903844,6.8934946,6.863517,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_21.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.981192,7.5390887,7.426756,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_22.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
10.864626,7.122512,6.8328705,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_23.wav,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,rain (light)
10.982387,6.8941803,7.0399218,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_24.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.345977,7.3607903,7.297707,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_25.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
11.891037,7.614898,7.3798647,0,0,0,00:00.0,00:00.0,uploads\b67551bc-3737-11f0-85b7-581122bb7f2c\20210419T000000+1000_REC_26.wav,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,rain (light)
